aliquot_uuid	aliquot_barcode
86c13d00-9cb9-4cad-bf90-beb4115b69f5	TCGA-77-7337-01A-21R-2045-07
03e01fb5-4517-4820-bc3b-fe892a8ef896	TCGA-77-7338-01A-11R-2045-07
8578f1c0-bec8-467e-9426-b2f18071eca8	TCGA-56-6546-01A-11R-1820-07
921b83c7-9731-4b26-9a91-f84347e36d5b	TCGA-22-5481-01A-31R-1949-07
20c383e0-a901-4a61-94d1-002a86a0d1c3	TCGA-77-6842-01A-11R-1949-07
8ce70027-d230-4af0-ab5f-5a50fdaac5e5	TCGA-77-6845-01A-11R-1949-07
6606d696-1211-43ad-b7b0-43b183af7faa	TCGA-46-3769-01A-01R-0980-07
2c6ccb67-23b3-4e1c-9136-30f373c7e40c	TCGA-37-4141-01A-02R-1100-07
0526f969-084d-4f40-beac-0ef3acf02e3b	TCGA-N5-A4RM-01A-11R-A28V-07
2949f94b-4965-4d54-a1f8-247069ea7298	TCGA-S7-A7WL-01A-11R-A35L-07
185c6574-0d29-4078-9198-ed4f427331bd	TCGA-43-3920-01A-01R-0980-07
f2956875-df61-4a7a-97dd-dd5d5a8f1d7a	TCGA-37-3792-01A-01R-0980-07
c68cacc1-3783-494b-aced-e06cea977a4f	TCGA-22-5478-01A-01R-1635-07
f5debd70-0db6-42d6-8894-fd65c9f4c66e	TCGA-39-5037-01A-01R-1443-07
26283541-2370-40ca-8687-e46b6cee1bc5	TCGA-37-4129-01A-01R-1100-07
4becf4e5-085b-442e-9b06-e2472c0dc239	TCGA-37-3783-01A-01R-1201-07
c7372404-46b6-415c-8084-2dac0e7f3cee	TCGA-22-5471-01A-01R-1635-07
700121ee-a711-4ccc-9250-e2b299d0f46e	TCGA-66-2788-01A-01R-0980-07
f1d662e9-e8dc-47d4-b350-c41798ad4584	TCGA-34-5232-01A-21R-1820-07
de4a60ba-a4a6-4ff8-8768-4c47e3926eb3	TCGA-22-1012-01A-01R-0692-07
270574c4-6a67-4639-9fd8-7734044ac317	TCGA-QT-A5XL-01A-11R-A35K-07
c322339f-28e6-480d-8cc3-5d63b07e66d0	TCGA-22-0940-01A-01R-0692-07
76ad7c60-3911-478f-bb99-2161769fa380	TCGA-21-1075-01A-01R-0692-07
db2c54e8-2023-49de-a116-7bec77297dee	TCGA-21-1076-01A-02R-0692-07
8dc89366-a78f-4e41-983f-13dfbbe782a2	TCGA-22-5492-01A-01R-1635-07
b6cbe950-44d8-4da9-ba79-116f25015278	TCGA-22-5477-01A-01R-1635-07
1eb4fd74-0fa3-4ec9-8fc4-aa5d26a5f690	TCGA-60-2723-01A-01R-0851-07
0e199130-3ee6-4172-93f9-db55c11e61b3	TCGA-98-7454-01A-11R-2045-07
a26c6cd1-144d-433a-b499-848ae93374c1	TCGA-66-2758-01A-02R-0851-07
3647c517-acfa-439c-85a2-e03a305b8ce1	TCGA-34-2596-01A-01R-0851-07
c3c18dde-e425-48c9-a6d6-6d55c31147f3	TCGA-60-2724-01A-01R-0851-07
0d996919-44ed-43cc-a2ae-99c684ac2707	TCGA-QR-A6GT-01A-11R-A35K-07
15746ad6-9014-45b3-841f-3a3f39bc2f84	TCGA-85-7950-01A-11R-2187-07
514bfcb2-3eae-436d-aec3-540cab765c3c	TCGA-77-8007-01A-11R-2187-07
0c5d09fe-e0e0-4cfa-9cd8-802b5725a3f6	TCGA-90-7766-01A-21R-2125-07
2e83ed1e-fbff-4729-8dfa-c070aa13c78e	TCGA-90-7767-01A-11R-2125-07
b4561112-1099-48a5-9bf9-beb2220cf597	TCGA-85-7697-01A-11R-2125-07
48b4302e-03cd-4f73-ab52-fb8dc22a10d4	TCGA-39-5040-01A-21R-2125-07
570cec62-e184-4e9b-a7fe-93f8615b2271	TCGA-43-8116-01A-11R-2247-07
13380c2f-2f59-40ac-ae0c-9f3dab833e39	TCGA-85-8070-01A-11R-2247-07
4b0015ac-a48c-4a48-b32f-8f62a84ebecd	TCGA-77-8145-01A-11R-2247-07
3e456d4d-3c85-464d-a5e3-f837c6145abf	TCGA-56-8504-01A-11R-2403-07
dd851272-51a0-456c-87e6-b31dcdf4d36f	TCGA-RW-A68G-01A-11R-A35K-07
